arm	size	budget_bt	gbs	lr	steps	tokens	loss	schedule
attn	302M	30	128	0.001	57221	30000283648	2.4598	chain
attn	302M	50	128	0.001	95368	50000297984	2.4160	chain
kda-sig-hybrid-lowrank	302M	30	128	0.001	57221	30000283648	2.3651	chain
kda-sig-hybrid-lowrank	302M	50	128	0.001	95368	50000297984	2.3323	chain
kda-sig-lowrank	302M	30	128	0.001	57221	30000283648	2.3768	chain
kda-sig-lowrank	302M	50	128	0.001	95368	50000297984	2.3441	chain
ckda-shipped-hybrid-lowrank	302M	30	128	0.001	57221	30000283648	2.3667	chain
ckda-shipped-hybrid-lowrank	302M	50	128	0.001	95368	50000297984	2.3335	chain
ckda-shipped-lowrank	302M	30	128	0.001	57221	30000283648	2.3784	chain
ckda-shipped-lowrank	302M	50	128	0.001	95368	50000297984	2.3453	chain
