campaign,run,step,tokens_B,layer,n_transitions,head_dim,frac_transition_any_complex,frac_transition_any_real_neg,frac_alpha_neg,frac_beta_gt1,mean_beta,median_abs_alpha,angle_q50,modulus_complex_q50
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,1,256,128,0.08203125,0.95703125,0.090362548828125,0.12109375,0.6378602981567383,0.5889864563941956,2.485904631002824,0.1186258071760594
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,2,256,128,0.0078125,0.91796875,0.06298828125,0.0390625,0.5577603578567505,0.6569388508796692,2.109686634911762,0.09300362570784129
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,3,256,128,0.03515625,0.86328125,0.057769775390625,0.1328125,0.6261719465255737,0.6755428314208984,2.79027583974098,0.0376838658197528
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,4,256,128,0.0234375,0.9140625,0.066162109375,0.0859375,0.6094299554824829,0.7695453763008118,1.544866339216965,0.058079799087699446
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,5,256,128,0.1015625,0.7890625,0.08221435546875,0.140625,0.6762316823005676,0.6022956967353821,2.0687694322669596,0.11090099475411622
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,6,256,128,0.1015625,0.8203125,0.043609619140625,0.16015625,0.6844735741615295,0.8562532663345337,2.3843693587066506,0.1012470705462512
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,7,256,128,0.15625,0.875,0.0595703125,0.2421875,0.7777273058891296,0.8331348896026611,2.5827533051158156,0.13087863342593786
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,8,256,128,0.140625,0.87109375,0.04632568359375,0.24609375,0.7755687832832336,0.9138460755348206,2.444249066236618,0.083324986244037
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,9,256,128,0.14453125,0.88671875,0.04803466796875,0.21484375,0.6824135184288025,0.9335112571716309,2.2129439736672913,0.08716114729057131
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,10,256,128,0.2421875,0.95703125,0.052459716796875,0.36328125,0.8714038133621216,0.9165866374969482,2.0509257051309593,0.11156801267084923
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,11,256,128,0.15234375,0.8125,0.027099609375,0.2578125,0.7702267169952393,0.94967120885849,2.26088306174818,0.11080960912403069
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,12,256,128,0.26953125,0.81640625,0.039642333984375,0.390625,0.9152613878250122,0.9635676145553589,2.080289169716539,0.11574136409688589
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,13,256,128,0.19140625,0.734375,0.02294921875,0.421875,0.9083282351493835,0.9736959934234619,1.974403188417584,0.11417333074425981
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,14,256,128,0.19921875,0.6640625,0.0186767578125,0.3828125,0.8725133538246155,0.9912744164466858,1.9711167073656648,0.11885665799966733
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,15,256,128,0.1796875,0.7734375,0.03094482421875,0.29296875,0.7926579117774963,0.984461784362793,2.277458348238759,0.08214894237927454
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,16,256,128,0.1640625,0.82421875,0.022369384765625,0.2890625,0.7629274725914001,0.9822201132774353,1.9525541016593542,0.0790308872450523
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,17,256,128,0.125,0.70703125,0.018157958984375,0.265625,0.7362586259841919,0.9903357028961182,1.5322661037069323,0.09622499494404618
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,18,256,128,0.11328125,0.69921875,0.02362060546875,0.22265625,0.7046561241149902,0.9818291664123535,2.2462015060855185,0.10470015903010912
